,bathrooms,bedrooms,finishedsqft,numrooms,yearbuilt,price,trans_score,walkscore_score
721,1.0,2,720,4,1922,345000,53,71
722,2.5,4,2356,7,1965,949000,0,16
723,2.0,3,1365,5,2003,299000,49,68
724,3.0,6,2284,9,1900,580000,56,80
725,3.0,2,2015,9,1928,579000,54,67
726,,12,5226,,1908,,79,95
727,3.0,5,2139,9,1924,629000,51,61
730,2.5,5,1892,10,1956,3500000,28,36
731,1.0,1,828,4,1960,998500,50,81
734,1.0,2,1100,5,1947,,0,32
735,3.0,4,2600,10,1989,,0,21
736,3.0,5,2587,10,2004,,0,19
737,2.0,5,2177,9,1925,1049950,0,76
738,1.5,3,1190,5,1939,768000,0,77
739,1.0,1,680,3,1972,,32,51
740,1.0,2,930,4,1915,,0,90
741,2.0,4,1248,6,1961,899888,35,37
742,1.0,2,836,4,1951,,37,58
743,2.0,2,913,4,1987,,35,46
744,2.0,2,1388,8,1952,2000000,44,75
745,2.0,3,1400,5,1954,1098000,34,35
746,2.0,4,1158,6,1960,,44,56
747,2.0,3,1427,5,1951,,47,80
748,2.0,4,1543,6,1949,899000,39,63
749,2.0,4,1693,7,1965,,35,30
750,2.0,4,1651,7,1960,1198000,36,64
753,2.0,3,1620,,2003,264950,46,35
754,2.5,3,1650,7,2007,929000,45,55
755,2.0,4,2108,8,1964,1199900,45,65
756,2.0,4,1752,8,1960,,33,61
